subj,sex,age,pilot,phase,phase_onset,phase_offset,prompt,prompt_onset,prompt_offset,response_onset,response_offset,response
052517_01,f,4.3,n,1,35870,96118,brown,40936,45763,40936,40936,brown
052517_01,f,4.3,n,1,35870,96118,yellow,45764,51441,45764,45764,yellow
052517_01,f,4.3,n,1,35870,96118,purple,51442,56881,51442,51442,black
052517_01,f,4.3,n,1,35870,96118,blue,56882,62899,56882,56882,blue
052517_01,f,4.3,n,1,35870,96118,red,62900,66775,62900,62900,red
052517_01,f,4.3,n,1,35870,96118,white,66776,72759,66776,66776,white
052517_01,f,4.3,n,1,35870,96118,black,72760,77315,72760,72760,black
052517_01,f,4.3,n,1,35870,96118,gray,77316,81123,77316,77316,gray
052517_01,f,4.3,n,1,35870,96118,green,81124,85611,81124,81124,green
052517_01,f,4.3,n,1,35870,96118,orange,85612,90235,85612,85612,orange
052517_01,f,4.3,n,1,35870,96118,pink,90236,95370,90236,90236,pink
052517_01,f,4.3,n,2,129166,651617,pink,132056,154088,150756,154088,13
052517_01,f,4.3,n,2,129166,651617,gray,169486,191896,189152,191896,49
052517_01,f,4.3,n,2,129166,651617,brown,208270,226508,226508,226508,15
052517_01,f,4.3,n,2,129166,651617,yellow,242076,259862,259862,259862,62
052517_01,f,4.3,n,2,129166,651617,white,296796,315826,315826,315826,59
052517_01,f,4.3,n,2,129166,651617,blue,349914,368084,368084,368084,5
052517_01,f,4.3,n,2,129166,651617,black,402376,418234,418234,418234,4
052517_01,f,4.3,n,2,129166,651617,red,449660,468384,468384,468384,58
052517_01,f,4.3,n,2,129166,651617,purple,497590,512822,512822,512822,57
052517_01,f,4.3,n,2,129166,651617,orange,543258,560660,560660,560660,64
052517_01,f,4.3,n,2,129166,651617,green,582586,619548,619548,619548,23
052517_01,f,4.3,n,2,129166,651617,green,582586,619548,619548,619548,21
052517_01,f,4.3,n,2,129166,651617,green,582586,619548,619548,619548,6
060817_02,f,5,n,1,4250,72352,yellow,11274,20705,20705,20705,yellow
060817_02,f,5,n,1,4250,72352,green,20706,26145,24310,24310,green
060817_02,f,5,n,1,4250,72352,blue,26146,29919,29750,29750,blue
060817_02,f,5,n,1,4250,72352,red,29920,34917,34782,34782,red
060817_02,f,5,n,1,4250,72352,brown,34918,39847,39678,39678,brown
060817_02,f,5,n,1,4250,72352,white,39848,45185,44948,44948,white
060817_02,f,5,n,1,4250,72352,orange,45186,51271,49538,49538,orange
060817_02,f,5,n,1,4250,72352,purple,51272,57561,55284,55284,purple
060817_02,f,5,n,1,4250,72352,black,57562,62423,60010,60010,black
060817_02,f,5,n,1,4250,72352,gray,62424,65891,64498,64498,gray
060817_02,f,5,n,1,4250,72352,pink,65892,70210,69768,69768,pink
