subj,sex,age,pilot,phase,phase_onset,phase_offset,stimulus,stim_onset,stim_offset,response,response_onset,response_offset,
111617_06,F,18.6,N,1,21964,79322,33,27166,31212,"o",31212,31212,
111617_06,F,18.6,N,1,21964,79322,14,31280,34986,"be",34986,34986,
111617_06,F,18.6,N,1,21964,79322,57,35054,39780,"pu",39780,39780,
111617_06,F,18.6,N,1,21964,79322,23,39848,46274,"gn",46274,46274,
111617_06,F,18.6,N,1,21964,79322,41,49844,53788,"r",53788,53788,
111617_06,F,18.6,N,1,21964,79322,62,53856,58242,"y",58242,58242,
111617_06,F,18.6,N,1,21964,79322,13,58514,62934,"pi",62934,62934,
111617_06,F,18.6,N,1,21964,79322,22,63002,66980,"22",66980,66980,
111617_06,F,18.6,N,1,21964,79322,4,70992,74290,"bk",74290,74290,
111617_06,F,18.6,N,1,21964,79322,59,74358,77520,"w",77520,77520,
111617_06,F,18.6,N,2,81872,579904,y,82960,113220,"62, 20, 17",109514,113220,
111617_06,F,18.6,N,2,81872,579904,br,118354,187000,"10, 40, 11, 52, 48, 15, 9",167348,187000,
111617_06,F,18.6,N,2,81872,579904,be,189074,268260,"16, 56, 50, 6, 44, 5, 25, 35, 37, 14, 12",238870,268260,
111617_06,F,18.6,N,2,81872,579904,pi,269518,313276,"31, 13, 45, 26, 53, 30",297602,313276,
111617_06,F,18.6,N,2,81872,579904,gy,315486,341802,"49, 54, 22",336518,341802,
111617_06,F,18.6,N,2,81872,579904,o,347616,379814,"27, 64, 33",373884,379814,
111617_06,F,18.6,N,2,81872,579904,bk,381140,403478,"4",400112,403478,
111617_06,F,18.6,N,2,81872,579904,w,405456,415344,"59",412012,415344,
111617_06,F,18.6,N,2,81872,579904,pu,416316,485656,"43, 25, 61, 7, 39, 34, 38, 28, 57",461278,485656,
111617_06,F,18.6,N,2,81872,579904,gn,485690,537064,"47, 51, 2, 18, 42, 63, 24, 23, 21",512196,537064,
111617_06,F,18.6,N,2,81872,579904,r,542368,577660,"46, 58, 41, 60",569296,577660,
111617_06,F,18.6,N,3,582032,706588,pi,582692,603228,"13",603228,603228,
111617_06,F,18.6,N,3,582032,706588,bk,604588,612442,"4",612442,612442,
111617_06,F,18.6,N,3,582032,706588,pu,615842,624240,"61",624240,624240,
111617_06,F,18.6,N,3,582032,706588,y,627062,633250,"62",633250,633250,
111617_06,F,18.6,N,3,582032,706588,br,635800,642498,"9",642498,642498,
111617_06,F,18.6,N,3,582032,706588,be,644810,652936,"50",652936,652936,
111617_06,F,18.6,N,3,582032,706588,w,656676,661708,"59",661708,661708,
111617_06,F,18.6,N,3,582032,706588,o,664632,671636,"33",671636,671636,
111617_06,F,18.6,N,3,582032,706588,gy,674798,683638,"49",683638,683638,
111617_06,F,18.6,N,3,582032,706588,r,686412,694348,"46",694348,694348,
111617_06,F,18.6,N,3,582032,706588,gn,696456,705568,"21",705568,705568,
060817_04,M,3.7,N,1,2754,104210,33,12240,22984,"",22984,22984,
060817_04,M,3.7,N,1,2754,104210,13,23018,35632,"",35632,35632,
060817_04,M,3.7,N,1,2754,104210,23,35938,48178,"gn",48178,48178,
060817_04,M,3.7,N,1,2754,104210,59,48212,54060,"w",54060,54060,
060817_04,M,3.7,N,1,2754,104210,9,54128,59772,"br",59772,59772,
060817_04,M,3.7,N,1,2754,104210,22,59840,67082,"dark blue",67082,67082,
060817_04,M,3.7,N,1,2754,104210,62,67150,72488,"y",72488,72488,
060817_04,M,3.7,N,1,2754,104210,41,72556,77078,"r",77078,77078,
060817_04,M,3.7,N,1,2754,104210,4,77146,89522,"dark blue",89522,89522,
060817_04,M,3.7,N,1,2754,104210,14,89624,96526,"light blue",96526,96526,
060817_04,M,3.7,N,1,2754,104210,57,96594,102340,"pu",102340,102340,
060817_04,M,3.7,N,2,145962,731680,o,150878,193256,"",193256,193256,
060817_04,M,3.7,N,2,145962,731680,y,194962,207264,"",207264,207264,
060817_04,M,3.7,N,2,145962,731680,be,253170,343284,"6, 44, 5, 16, 14, 56, 25, 50",322850,343284,
060817_04,M,3.7,N,2,145962,731680,bk,369552,386682,"",386682,386682,
060817_04,M,3.7,N,2,145962,731680,pi,387552,429998,"53, 34, 13",422796,429998,
060817_04,M,3.7,N,2,145962,731680,gy,446324,484262,"22, 41",480562,484262,
060817_04,M,3.7,N,2,145962,731680,br,500792,547706,"48, 38, 29",540334,547706,
060817_04,M,3.7,N,2,145962,731680,gn,555580,608838,"44, 21, 47, 23, 63",597176,608838,
060817_04,M,3.7,N,2,145962,731680,r,639104,687888,"41, 58, 46, 42",678300,687888,
060817_04,M,3.7,N,2,145962,731680,w,690030,705432,"59",703086,705432,
