data_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,longitudinal,source_name,mom_ed,value,num_item_id,num_value,color
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,510,1,black
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,511,1,blue
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,513,1,brown
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,518,1,dark
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,528,1,green
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,546,1,orange
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,550,1,red
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,produces,563,1,white
51699,27,497,497,English,WS,Fourth,Hispanic,Female,,TRUE,FALSE,Marchman,Some Secondary,"",565,0,yellow
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,produces,528,1,green
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,produces,550,1,red
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51700,21,369,369,English,WS,Second,White,Female,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",510,0,black
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",511,0,blue
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",513,0,brown
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",518,0,dark
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",528,0,green
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,produces,546,1,orange
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",550,0,red
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",563,0,white
51701,26,190,190,English,WS,Fourth,White,Female,,TRUE,FALSE,Marchman,College,"",565,0,yellow
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",513,0,brown
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",518,0,dark
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",528,0,green
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",546,0,orange
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",550,0,red
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",563,0,white
51702,27,264,264,English,WS,Second,White,Male,,TRUE,FALSE,Marchman,Secondary,"",565,0,yellow
51703,19,159,159,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",510,0,black
51703,19,159,159,English,WS,Second,Other,Female,,TRUE,FALSE,Marchman,Secondary,"",511,0,blue
